,index,Validation-accuracy,--dropout,--learning_rate
0,1,0.9712,0.4439382425122721,0.08177734351368438
1,2,0.9752,0.36691549333903695,0.13167199355992532
2,3,0.9679,0.1967271602243,0.04583595425426854
3,4,0.974,0.2575218058968,0.09349862655663545
4,5,0.9612,0.4559382425122721,0.08277734351368438
5,7,0.9722,0.4639382425122721,0.08297734351368438
6,8,0.9988,0.4039382425122721,0.08077734351368437
7,9,0.9797,0.4139382425122721,0.08167734351368439
8,12,0.9714,0.4239382425122721,0.08197734351368438
9,13,0.9924,0.4139382425122721,0.09177734351368438
